id;version;username;first_name;last_name;password;email;active;time_zone_id;created_by;created_date;deleted_by;deleted_date;last_modified_by;last_modified_date;office_id;position_
026ed295-e87e-4b89-84ed-30a0a8507562;1;makarova_v;Василиса;Макарова;{bcrypt}$2a$10$DFvCZM8L/7MfbQp9BRJGRuMDstp/jpdZkPgmNf6HDbFmNb1Ztcr8a;makarova.vasilisa@mail.ru;t;Europe/Moscow;admin;2022-07-11 00:05:13.135;;;;2022-07-11 00:05:13.135;6a789711-4be0-df69-8d0d-a3c77ba7bc87;Developer
3dc0b26b-1248-d1cd-5290-4e138775ccdb;1;bondarev_m;Михаил;Бондарев;{bcrypt}$2a$10$15GxM3.4maXudhl2vNWTmOQG.tnF4VmeKkxLuBztK1e/B7c1LWlG2;bondarev.mikhail@mail.ru;t;Europe/Samara;admin;2022-07-11 00:07:17.911;;;;2022-07-11 00:07:17.911;780f38f6-4d1a-0c91-e8e0-0305cfb248c3;Manager
b907d709-d91b-7f6a-49cf-10d90273ffb0;1;fedotov_m;Максим;Федотов;{bcrypt}$2a$10$F2J6kQ1WBMyrL/LlYPsLBe40FmsSChmZyqviNunVfPCApCYAATB3y;fedotov.maksim@mail.ru;t;Europe/Moscow;admin;2022-07-11 00:08:44.505;;;;2022-07-11 00:08:44.505;6a789711-4be0-df69-8d0d-a3c77ba7bc87;Developer
46d941d3-66fb-4740-ff6e-072ad7b748c2;1;korneev_k;Константин;Корнеев;{bcrypt}$2a$10$GTimoo30Dvyk4qOHf8uL3OHwc5EbZaXlFNBcdjHZa22EisA1CqtW6;konstantin.korneev@mail.ru;t;Europe/Samara;admin;2022-07-11 00:09:38.281;;;;2022-07-11 00:09:38.281;780f38f6-4d1a-0c91-e8e0-0305cfb248c3;Developer
cc960e7d-b37c-7ab5-6dda-0b8914934961;1;kuznecov_a;Артемий;Кузнецов;{bcrypt}$2a$10$zTHphx1ot.cb.48Zlt.ifeyS6Jrd8UO3TAHErH266MGzumxV/mq5G;kuznecov.artemii@mail.ru;t;Europe/Samara;admin;2022-07-11 00:10:52.047;;;;2022-07-11 00:10:52.047;bde06d2d-d28a-d83c-7c0d-6e8917970576;Manager
7dd8a2c0-3b1e-1db6-e4cd-715c9370bb81;1;novikova_d;Дарья;Новикова;{bcrypt}$2a$10$J6IMszliNgQsEclS4HLqFO7pgZVf78jYiLzhTviz5xOoVX6MYJc7m;novikova.daria@mail.ru;t;Europe/Samara;admin;2022-07-11 00:12:08.587;;;;2022-07-11 00:12:08.587;bde06d2d-d28a-d83c-7c0d-6e8917970576;HR
26f14018-d09d-6d55-4b8c-d87e6b706de2;1;borisov_p;Павел;Борисов;{bcrypt}$2a$10$9vLnF19bJqteZymk4F4CYubHANtPdspX.22GSFVZGB8VWBUmWQliO;borisov.pavel@mail.ru;t;Etc/GMT+4;admin;2022-07-11 00:13:28.296;;;;2022-07-11 00:13:28.296;ad5dca9a-3196-32f7-56b7-e57299fe1875;QA
3be5ccab-c8ce-a6a8-ef39-8a3999108f6e;1;orlova_s;София;Орлова;{bcrypt}$2a$10$NUtQ/gzYRlCTAXu4Y9Nz0uoWy1wkQk2L91Afx7ivYRypCIumoTvlS;orlova.sophia@mail.ru;t;Etc/GMT+4;admin;2022-07-11 00:14:20.454;;;;2022-07-11 00:14:20.454;ad5dca9a-3196-32f7-56b7-e57299fe1875;Developer
a73d767a-0899-5676-90c1-28941f1c93b3;1;smirnova_a;Алиса;Смирнова;{bcrypt}$2a$10$eqA9sLy4pUek.w9Cs6xZIObSuGrr6bfdBpgCJGjasywAj5INSJkL2;smirnova.alisa@mail.ru;t;Etc/GMT+4;admin;2022-07-11 00:15:38.618;;;;2022-07-11 00:15:38.618;aa76345b-4c08-ec79-ee03-7b2857d5661b;Developer
ae6cbd6a-8fc9-d4e7-088e-bc4428fb16b7;1;vlasov_a;Александр;Власов;{bcrypt}$2a$10$lxYGJ2rj7CDTTFirL1n.cOAWGVdjarGOdKMZma8XovzeX2FhiVIuS;vlasov.alexandr@mail.ru;t;Etc/GMT+4;admin;2022-07-11 00:19:03.455;;;;2022-07-11 00:19:03.455;aa76345b-4c08-ec79-ee03-7b2857d5661b;QA
